IP Address,MAC Address,Hostname,Model Info,macOS Version,Model Identifier,Taille,Annee,Disk Free,RAM Info,Open Apps,Battery Status,Battery Details,Current User
172.17.18.237,10:9f:41:c3:bd:af,MBP306-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,300Gi,"15G used, 3482M free",,"percent: 95, power_plugged: True, time_left: 20:00, drawing_from: Battery Power","cycle_count: 122, full_charge_capacity: None, condition: Normal",christiane_smartelia
172.17.19.29,5c:e9:1e:6d:47:36,MBP241-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,6",13.0,"Mac14,6",16 pouces,2023,436Gi,"30G used, 6079M free",,"percent: 31, power_plugged: True, time_left: 2:16, drawing_from: Battery Power","cycle_count: 322, full_charge_capacity: None, condition: Normal",camille_smartelia
172.17.18.211,a4:cf:99:88:5c:7b,MBP303-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,17Gi,"15G used, 5065M free",,"percent: 97, power_plugged: True, time_left: 0:27, drawing_from: AC Power","cycle_count: 311, full_charge_capacity: None, condition: Normal",abby_smartelia
172.17.19.25,a4:cf:99:83:98:53,MBP289-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",14.0,"Mac14,7",13 pouces,2022,2.8Gi,"15G used, 6714M free",,"percent: 98, power_plugged: True, time_left: 0:17, drawing_from: AC Power","cycle_count: 131, full_charge_capacity: None, condition: Normal",jenny_smartelia
172.17.18.1,b0:be:83:5c:28:6f,MBP212-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.4.1,"MacBookPro17,1",13 pouces,2020,176Gi,"14G used, 568M free",,"percent: 61, power_plugged: True, time_left: 6:23, drawing_from: Battery Power","cycle_count: 438, full_charge_capacity: None, condition: Normal",Enzo_Smartelia
172.17.18.23,a0:78:17:83:67:3e,MBP153-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.1.1,"MacBookPro17,1",13 pouces,2020,163Gi,"15G used, 493M free",,"percent: 89, power_plugged: True, time_left: 0:50, drawing_from: AC Power","cycle_count: 658, full_charge_capacity: None, condition: Normal",Alan_smartelia
172.17.18.38,Unknown,MBP297-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",15.1.1,"Mac14,7",13 pouces,2022,115Gi,"13G used, 392M free",,"percent: 77, power_plugged: True, time_left: 1:17, drawing_from: AC Power","cycle_count: 156, full_charge_capacity: None, condition: Normal",Martine_Smartelia
172.17.18.230,5c:e9:1e:6c:62:98,MBP239-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,6",13.0,"Mac14,6",16 pouces,2023,487Gi,"31G used, 9630M free",,"percent: 44, power_plugged: True, time_left: 3:46, drawing_from: Battery Power","cycle_count: 333, full_charge_capacity: None, condition: Normal",mathieu_smartelia
172.17.19.10,b0:be:83:63:dd:38,MBP214-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.4.1,"MacBookPro17,1",13 pouces,2020,145Gi,"15G used, 4651M free",,"percent: 67, power_plugged: True, time_left: 5:33, drawing_from: Battery Power","cycle_count: 414, full_charge_capacity: None, condition: Normal",anissa_smartelia
172.17.18.10,10:9f:41:ba:ed:be,MBP338-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,285Gi,"15G used, 2421M free",,"percent: 62, power_plugged: True, time_left: 4:31, drawing_from: Battery Power","cycle_count: 119, full_charge_capacity: None, condition: Normal",manou_smartelia
172.17.19.15,Unknown,MBP152-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",15.1.1,"MacBookPro17,1",13 pouces,2020,143Gi,"15G used, 3853M free",,"percent: 22, power_plugged: True, time_left: None, drawing_from: AC Power","cycle_count: 653, full_charge_capacity: None, condition: Normal",gabriella_smartelia
172.17.18.227,a4:cf:99:71:fb:4a,MBP248-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.0,"Mac14,7",13 pouces,2022,151Gi,"15G used, 5486M free",,"percent: 98, power_plugged: True, time_left: 20:00, drawing_from: Battery Power","cycle_count: 249, full_charge_capacity: None, condition: Normal",lucien_pads
172.17.18.244,b0:be:83:58:f6:50,MBP186-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",12.4,"MacBookPro17,1",13 pouces,2020,144Gi,"15G used, 172M free",,"percent: 50, power_plugged: True, time_left: 1:44, drawing_from: AC Power","cycle_count: 436, full_charge_capacity: None, condition: Normal",ursulla_smartelia
172.17.19.59,88:e9:fe:75:41:1f,MBP112-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro14,2",13.6.6,"MacBookPro14,2",13 pouces,2017,855Gi,"15G used, 919M free",,"percent: 37, power_plugged: True, time_left: 1:02, drawing_from: Battery Power","cycle_count: 1155, full_charge_capacity: 3512, condition: Normal",derrick_smartelia
172.17.18.247,a4:cf:99:7f:61:8b,MBP286-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,14Gi,"15G used, 7054M free",,"percent: 96, power_plugged: True, time_left: 10:03, drawing_from: Battery Power","cycle_count: 178, full_charge_capacity: None, condition: Normal",sylvanna_smartelia
172.17.18.221,74:8f:3c:c1:86:2b,MBP149-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.1.1,"MacBookPro17,1",13 pouces,2020,171Gi,"14G used, 1812M free",,"percent: 59, power_plugged: True, time_left: 6:26, drawing_from: Battery Power","cycle_count: 634, full_charge_capacity: None, condition: Normal",morgane_pads
172.17.18.242,10:9f:41:c4:d5:29,MBP339-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,291Gi,"15G used, 5431M free",,"percent: 95, power_plugged: True, time_left: 0:26, drawing_from: AC Power","cycle_count: 230, full_charge_capacity: None, condition: Normal",joris_smartelia
172.17.19.28,10:9f:41:c0:c8:45,MBP313-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,347Gi,"15G used, 1438M free",,"percent: 46, power_plugged: True, time_left: 5:29, drawing_from: Battery Power","cycle_count: 39, full_charge_capacity: None, condition: Normal",celestin_smartelia
172.17.18.235,b0:be:83:5a:6f:e1,MBP183-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.1.1,"MacBookPro17,1",13 pouces,2020,120Gi,"15G used, 8396M free",,"percent: 100, power_plugged: True, time_left: 0:00, drawing_from: AC Power","cycle_count: 436, full_charge_capacity: None, condition: Normal",lucie_smartelia
172.17.19.72,10:9f:41:bc:62:21,MBP312-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,325Gi,"15G used, 7673M free",,"percent: 54, power_plugged: True, time_left: 7:45, drawing_from: Battery Power","cycle_count: 42, full_charge_capacity: None, condition: Normal",samuel_smartelia
172.17.19.69,Unknown,MBP349-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,232Gi,"15G used, 507M free",,"percent: 59, power_plugged: True, time_left: 7:16, drawing_from: Battery Power","cycle_count: 137, full_charge_capacity: None, condition: Normal",tommy_smartelia
172.17.19.32,a0:78:17:7d:be:83,MBP179-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",12.4,"MacBookPro17,1",13 pouces,2020,115Gi,"15G used, 345M free",,"percent: 80, power_plugged: True, time_left: 11:02, drawing_from: Battery Power","cycle_count: 345, full_charge_capacity: None, condition: Normal",logan_smartelia
172.17.19.21,b0:be:83:58:f4:24,MBP196-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.4.1,"MacBookPro17,1",13 pouces,2020,3.6Gi,"15G used, 6647M free",,"percent: 100, power_plugged: True, time_left: 0:00, drawing_from: AC Power","cycle_count: 498, full_charge_capacity: None, condition: Normal",juliette_smartelia
172.17.19.18,74:8f:3c:bc:8c:e0,MBP139-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.1.1,"MacBookPro17,1",13 pouces,2020,144Gi,"15G used, 4242M free",,"percent: 100, power_plugged: True, time_left: 7:29, drawing_from: Battery Power","cycle_count: 776, full_charge_capacity: None, condition: Normal",dimitri_smartelia
172.17.19.13,4e:dc:87:70:eb:28,MBP205-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",15.1.1,"MacBookPro17,1",13 pouces,2020,136Gi,"15G used, 5012M free",,"percent: 74, power_plugged: True, time_left: 1:27, drawing_from: AC Power","cycle_count: 396, full_charge_capacity: None, condition: Normal",jade_smartelia
172.17.18.215,10:9f:41:ba:90:5b,MBP327-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,304Gi,"15G used, 7446M free",,"percent: 41, power_plugged: True, time_left: 7:05, drawing_from: Battery Power","cycle_count: 175, full_charge_capacity: None, condition: Normal",coralie_smartelia
172.17.18.224,b0:be:83:5d:e1:1b,MBP200-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.1.1,"MacBookPro17,1",13 pouces,2020,130Gi,"15G used, 6292M free",,"percent: 46, power_plugged: True, time_left: 6:02, drawing_from: Battery Power","cycle_count: 373, full_charge_capacity: None, condition: Normal",roxane_smartelia
172.17.19.9,a0:78:17:7e:6d:cd,MBP172-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.1.1,"MacBookPro17,1",13 pouces,2020,106Gi,"15G used, 5762M free",,"percent: 99, power_plugged: True, time_left: 14:58, drawing_from: Battery Power","cycle_count: 533, full_charge_capacity: None, condition: Normal",eleonore_smartelia
172.17.19.80,Unknown,MBP264-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.0,"Mac14,7",13 pouces,2022,98Gi,"13G used, 522M free",,"percent: 94, power_plugged: True, time_left: 0:37, drawing_from: AC Power","cycle_count: 245, full_charge_capacity: None, condition: Normal",eliot_smartelia
172.17.19.90,10:9f:41:c1:6d:7e,MBP353-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.2,"Mac15,3",14 pouces,2023,311Gi,"15G used, 6114M free",,"percent: 85, power_plugged: True, time_left: 10:23, drawing_from: Battery Power","cycle_count: 12, full_charge_capacity: None, condition: Normal",Falia_smartelia
172.17.18.228,a4:cf:99:81:ca:82,MBP275-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,96Gi,"15G used, 3988M free",,"percent: 82, power_plugged: True, time_left: 1:01, drawing_from: AC Power","cycle_count: 225, full_charge_capacity: None, condition: Normal",oscar_smartelia
172.17.19.100,10:9f:41:c5:8f:7c,MBP310-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,375Gi,"15G used, 5934M free",,"percent: 85, power_plugged: True, time_left: 0:52, drawing_from: AC Power","cycle_count: 76, full_charge_capacity: None, condition: Normal",leon_smartelia
172.17.18.214,b0:be:83:57:da:6a,MBP209-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",12.4,"MacBookPro17,1",13 pouces,2020,62Gi,"13G used, 2157M free",,"percent: 52, power_plugged: True, time_left: 1:57, drawing_from: AC Power","cycle_count: 300, full_charge_capacity: None, condition: Normal",valentin_smartelia
172.17.18.234,a4:cf:99:81:7b:18,MBP270-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,37Gi,"15G used, 6349M free",,"percent: 97, power_plugged: True, time_left: 18:52, drawing_from: Battery Power","cycle_count: 175, full_charge_capacity: None, condition: Normal",serena_pads
172.17.19.74,a4:cf:99:86:70:c8,MBP282-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",14.4.1,"Mac14,7",13 pouces,2022,169Gi,"15G used, 581M free",,"percent: 89, power_plugged: True, time_left: 14:43, drawing_from: Battery Power","cycle_count: 187, full_charge_capacity: None, condition: Normal",margaux345
172.17.19.89,a4:cf:99:7d:14:6a,MBP279-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",14.4.1,"Mac14,7",13 pouces,2022,126Gi,"15G used, 998M free",,"percent: 91, power_plugged: True, time_left: 9:24, drawing_from: Battery Power","cycle_count: 173, full_charge_capacity: None, condition: Normal",helga_smartelia
172.17.19.77,a4:cf:99:86:bd:ac,MBP295-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",14.4.1,"Mac14,7",13 pouces,2022,49Gi,"15G used, 3717M free",,"percent: 87, power_plugged: True, time_left: 9:04, drawing_from: Battery Power","cycle_count: 190, full_charge_capacity: None, condition: Normal",david_smartelia
172.17.19.43,36:77:fd:96:6f:9c,MBP260-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",15.1.1,"Mac14,7",13 pouces,2022,87Gi,"15G used, 6262M free",,"percent: 87, power_plugged: True, time_left: 0:45, drawing_from: AC Power","cycle_count: 238, full_charge_capacity: None, condition: Normal",cassie_smartelia
172.17.19.82,Unknown,MBP287-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,518Mi,"15G used, 1827M free",,"percent: 62, power_plugged: True, time_left: 4:20, drawing_from: Battery Power","cycle_count: 269, full_charge_capacity: None, condition: Normal",marius_smartelia
172.17.19.85,30:d8:75:98:dd:e0,MBP222-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.1.1,"MacBookPro17,1",13 pouces,2020,13Gi,"15G used, 5168M free",,"percent: 75, power_plugged: True, time_left: 10:19, drawing_from: Battery Power","cycle_count: 233, full_charge_capacity: None, condition: Normal",sandra_smartelia
172.17.19.70,10:9f:41:bc:a2:cb,MBP309-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,286Gi,"15G used, 5297M free",,"percent: 72, power_plugged: True, time_left: 6:14, drawing_from: Battery Power","cycle_count: 102, full_charge_capacity: None, condition: Normal",matteo_smartelia
172.17.19.88,10:9f:41:c1:a6:98,MBP352-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,327Gi,"15G used, 4256M free",,"percent: 99, power_plugged: True, time_left: 0:00, drawing_from: AC Power","cycle_count: 191, full_charge_capacity: None, condition: Normal",james_smartelia
172.17.19.84,9c:3e:53:81:c5:5d,MBP230-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",12.4,"Mac14,7",13 pouces,2022,12Gi,"15G used, 70M free",,"percent: 81, power_plugged: True, time_left: 11:55, drawing_from: Battery Power","cycle_count: 307, full_charge_capacity: None, condition: Normal",willy_smartelia
172.17.19.68,a0:78:17:7f:89:c4,MBP158-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.0,"MacBookPro17,1",13 pouces,2020,122Gi,"15G used, 6027M free",,"percent: 79, power_plugged: True, time_left: 8:26, drawing_from: Battery Power","cycle_count: 539, full_charge_capacity: None, condition: Normal",eva_smartelia
172.17.19.22,Unknown,MBP298-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,95Gi,"15G used, 1756M free",,"percent: 75, power_plugged: True, time_left: 1:25, drawing_from: AC Power","cycle_count: 264, full_charge_capacity: None, condition: Normal",princia_smartelia
172.17.19.109,b0:be:83:5c:ae:96,MBP201-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.0,"MacBookPro17,1",13 pouces,2020,173Gi,"15G used, 1866M free",,"percent: 46, power_plugged: True, time_left: 3:09, drawing_from: Battery Power","cycle_count: 437, full_charge_capacity: None, condition: Normal",alphonse_smartelia
172.17.19.114,a0:78:17:81:78:ff,MBP160-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.5,"MacBookPro17,1",13 pouces,2020,138Gi,"15G used, 7496M free",,"percent: 34, power_plugged: True, time_left: 2:48, drawing_from: Battery Power","cycle_count: 413, full_charge_capacity: None, condition: Normal",colombe_smartelia
172.17.19.121,a4:cf:99:6b:a8:b5,MBP254-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.0,"Mac14,7",13 pouces,2022,124Gi,"15G used, 3982M free",,"percent: 84, power_plugged: True, time_left: 13:52, drawing_from: Battery Power","cycle_count: 168, full_charge_capacity: None, condition: Normal",irma_smartelia
172.17.19.87,a4:cf:99:7c:41:7e,MBP291-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,131Gi,"14G used, 2060M free",,"percent: 58, power_plugged: True, time_left: 4:12, drawing_from: Battery Power","cycle_count: 205, full_charge_capacity: None, condition: Normal",maurice_smartelia
172.17.19.141,b0:be:83:57:72:e4,MBP219-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.4.1,"MacBookPro17,1",13 pouces,2020,190Gi,"14G used, 1250M free",,"percent: 77, power_plugged: True, time_left: 6:50, drawing_from: Battery Power","cycle_count: 321, full_charge_capacity: None, condition: Normal",herve_smartelia
172.17.19.144,Unknown,MBP302-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",15.1.1,"Mac14,7",13 pouces,2022,106Gi,"15G used, 1960M free",,"percent: 93, power_plugged: True, time_left: 0:49, drawing_from: AC Power","cycle_count: 249, full_charge_capacity: None, condition: Normal",irene_smartelia
172.17.19.97,12:21:8d:92:ed:c4,MBP253-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",15.1.1,"Mac14,7",13 pouces,2022,113Gi,"15G used, 3166M free",,"percent: 97, power_plugged: True, time_left: 15:37, drawing_from: Battery Power","cycle_count: 291, full_charge_capacity: None, condition: Normal",lauriane_smartelia
172.17.19.115,b0:be:83:61:b7:55,MBP197-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.1.1,"MacBookPro17,1",13 pouces,2020,140Gi,"15G used, 5461M free",,"percent: 100, power_plugged: True, time_left: 11:59, drawing_from: Battery Power","cycle_count: 392, full_charge_capacity: None, condition: Normal",jerry_smartelia
172.17.19.122,Unknown,MBP345-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,260Gi,"15G used, 7424M free",,"percent: 44, power_plugged: True, time_left: 2:22, drawing_from: Battery Power","cycle_count: 332, full_charge_capacity: None, condition: Normal",julie_smartelia
